"SKU","Name","On Hand","Available","Customs Description","Tariff Code","Customs Value","Price","Warehouse Product Price","Barcode","Warehouse"
"57129473474942","Women's Necklace Bundle Silver / Gold","0","0","Women's Necklace Bundle Silver / Gold","0","0.0000","58.0000","49.3000","776059426","Vareya BV / Primary"
"57129473442174","Women's Necklace Bundle Gold / Silver","0","0","Women's Necklace Bundle Gold / Silver","0","0.0000","58.0000","49.3000","776059947","Vareya BV / Primary"
"57129473409406","Women's Necklace Bundle Gold / Gold","0","0","Women's Necklace Bundle Gold / Gold","0","0.0000","58.0000","49.3000","776060045","Vareya BV / Primary"
"57129460924798","Men's Minimal Bundle Black / Black","0","0","Men's Minimal Bundle Black / Black","0","0.0000","48.0000","40.8000","776058462","Vareya BV / Primary"
"57129460892030","Men's Minimal Bundle Black / Gold","0","0","Men's Minimal Bundle Black / Gold","0","0.0000","48.0000","40.8000","776091497","Vareya BV / Primary"
"57129460859262","Men's Minimal Bundle Black / Silver","0","0","Men's Minimal Bundle Black / Silver","0","0.0000","48.0000","40.8000","776090631","Vareya BV / Primary"
"57129460826494","Men's Minimal Bundle Gold / Black","0","0","Men's Minimal Bundle Gold / Black","0","0.0000","48.0000","40.8000","776058830","Vareya BV / Primary"
"57129460793726","Men's Minimal Bundle Gold / Gold","0","0","Men's Minimal Bundle Gold / Gold","0","0.0000","48.0000","40.8000","776090589","Vareya BV / Primary"
"57129460760958","Men's Minimal Bundle Gold / Silver","0","0","Men's Minimal Bundle Gold / Silver","0","0.0000","48.0000","40.8000","776090578","Vareya BV / Primary"
"57129460728190","Men's Minimal Bundle Silver / Black","0","0","Men's Minimal Bundle Silver / Black","0","0.0000","48.0000","40.8000","776091466","Vareya BV / Primary"
"57129460695422","Men's Minimal Bundle Silver / Gold","0","0","Men's Minimal Bundle Silver / Gold","0","0.0000","48.0000","40.8000","776058411","Vareya BV / Primary"
"57129460662654","Men's Minimal Bundle Silver / Silver","0","0","Men's Minimal Bundle Silver / Silver","0","0.0000","48.0000","40.8000","776058749","Vareya BV / Primary"
"57129408495998","Women's Cuff+Bracelet Bundle Silver / Silver","0","0","Women's Cuff+Bracelet Bundle Silver / Silver","0","0.0000","72.0000","41.6500","776088238","Vareya BV / Primary"
"57129408463230","Women's Cuff+Bracelet Bundle Silver / Gold","0","0","Women's Cuff+Bracelet Bundle Silver / Gold","0","0.0000","72.0000","41.6500","776088299","Vareya BV / Primary"
"57129408430462","Women's Cuff+Bracelet Bundle Gold / Silver","0","0","Women's Cuff+Bracelet Bundle Gold / Silver","0","0.0000","72.0000","41.6500","776055748","Vareya BV / Primary"
"57129408397694","Women's Cuff+Bracelet Bundle Gold / Gold","0","0","Women's Cuff+Bracelet Bundle Gold / Gold","0","0.0000","72.0000","41.6500","776088244","Vareya BV / Primary"
"57004517720446","Men's Ring+Cuff+Bracelet Bundle Black / Black / Black","0","0","Men's Ring+Cuff+Bracelet Bundle Black / Black / Black","0","0.0000","69.0000","69.0000","775046351","Vareya BV / Primary"
"57004517687678","Men's Ring+Cuff+Bracelet Bundle Black / Black / Gold","0","0","Men's Ring+Cuff+Bracelet Bundle Black / Black / Gold","0","0.0000","69.0000","69.0000","775043655","Vareya BV / Primary"
"57004517654910","Men's Ring+Cuff+Bracelet Bundle Black / Black / Silver","0","0","Men's Ring+Cuff+Bracelet Bundle Black / Black / Silver","0","0.0000","69.0000","69.0000","775072967","Vareya BV / Primary"
"57004517622142","Men's Ring+Cuff+Bracelet Bundle Black / Gold / Black","0","0","Men's Ring+Cuff+Bracelet Bundle Black / Gold / Black","0","0.0000","69.0000","69.0000","775043621","Vareya BV / Primary"
"57004517589374","Men's Ring+Cuff+Bracelet Bundle Black / Gold / Gold","0","0","Men's Ring+Cuff+Bracelet Bundle Black / Gold / Gold","0","0.0000","69.0000","69.0000","775043416","Vareya BV / Primary"
"57004517556606","Men's Ring+Cuff+Bracelet Bundle Black / Gold / Silver","0","0","Men's Ring+Cuff+Bracelet Bundle Black / Gold / Silver","0","0.0000","69.0000","69.0000","775072888","Vareya BV / Primary"
"57004517523838","Men's Ring+Cuff+Bracelet Bundle Black / Silver / Black","0","0","Men's Ring+Cuff+Bracelet Bundle Black / Silver / Black","0","0.0000","69.0000","69.0000","775043612","Vareya BV / Primary"
"57004517491070","Men's Ring+Cuff+Bracelet Bundle Black / Silver / Gold","0","0","Men's Ring+Cuff+Bracelet Bundle Black / Silver / Gold","0","0.0000","69.0000","69.0000","775043487","Vareya BV / Primary"
"57004517458302","Men's Ring+Cuff+Bracelet Bundle Black / Silver / Silver","0","0","Men's Ring+Cuff+Bracelet Bundle Black / Silver / Silver","0","0.0000","69.0000","69.0000","775072817","Vareya BV / Primary"
"57004517425534","Men's Ring+Cuff+Bracelet Bundle Gold / Black / Black","0","0","Men's Ring+Cuff+Bracelet Bundle Gold / Black / Black","0","0.0000","69.0000","69.0000","775047389","Vareya BV / Primary"
"57004517392766","Men's Ring+Cuff+Bracelet Bundle Gold / Black / Gold","0","0","Men's Ring+Cuff+Bracelet Bundle Gold / Black / Gold","0","0.0000","69.0000","69.0000","775072830","Vareya BV / Primary"
"57004517359998","Men's Ring+Cuff+Bracelet Bundle Gold / Black / Silver","0","0","Men's Ring+Cuff+Bracelet Bundle Gold / Black / Silver","0","0.0000","69.0000","69.0000","775062938","Vareya BV / Primary"
"57004517327230","Men's Ring+Cuff+Bracelet Bundle Gold / Gold / Black","0","0","Men's Ring+Cuff+Bracelet Bundle Gold / Gold / Black","0","0.0000","69.0000","69.0000","775043622","Vareya BV / Primary"
"57004517294462","Men's Ring+Cuff+Bracelet Bundle Gold / Gold / Gold","0","0","Men's Ring+Cuff+Bracelet Bundle Gold / Gold / Gold","0","0.0000","69.0000","69.0000","775046338","Vareya BV / Primary"
"57004517261694","Men's Ring+Cuff+Bracelet Bundle Gold / Gold / Silver","0","0","Men's Ring+Cuff+Bracelet Bundle Gold / Gold / Silver","0","0.0000","69.0000","69.0000","775047322","Vareya BV / Primary"
"57004517228926","Men's Ring+Cuff+Bracelet Bundle Gold / Silver / Black","0","0","Men's Ring+Cuff+Bracelet Bundle Gold / Silver / Black","0","0.0000","69.0000","69.0000","775046308","Vareya BV / Primary"
"57004517196158","Men's Ring+Cuff+Bracelet Bundle Gold / Silver / Gold","0","0","Men's Ring+Cuff+Bracelet Bundle Gold / Silver / Gold","0","0.0000","69.0000","69.0000","775046307","Vareya BV / Primary"
"57004517163390","Men's Ring+Cuff+Bracelet Bundle Gold / Silver / Silver","0","0","Men's Ring+Cuff+Bracelet Bundle Gold / Silver / Silver","0","0.0000","69.0000","69.0000","775043427","Vareya BV / Primary"
"57004517130622","Men's Ring+Cuff+Bracelet Bundle Silver / Black / Black","0","0","Men's Ring+Cuff+Bracelet Bundle Silver / Black / Black","0","0.0000","69.0000","69.0000","775043572","Vareya BV / Primary"
"57004517097854","Men's Ring+Cuff+Bracelet Bundle Silver / Black / Gold","0","0","Men's Ring+Cuff+Bracelet Bundle Silver / Black / Gold","0","0.0000","69.0000","69.0000","775046298","Vareya BV / Primary"
"57004517065086","Men's Ring+Cuff+Bracelet Bundle Silver / Black / Silver","0","0","Men's Ring+Cuff+Bracelet Bundle Silver / Black / Silver","0","0.0000","69.0000","69.0000","775043545","Vareya BV / Primary"
